season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2018,QB,13589,"Allen, Josh",QB,BUF,1,2018-09-01,2018-09-06,2018-12-24,16,0011,Cleon Ca$h,TAXI_SQUAD,2000,1,Veteran,,CL 1| TCV 2K| AAV 2K| Y1-2K,0,0,0,0,0,,1,0,1,2000,0,0,0,1,2000,2000,{},0,0,1,2000,0,2000,2000,2000,0,2018-12-24,0,tcv_div_cl,1,change_category_manual_review,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:10
2022,QB,13589,"Allen, Josh",QB,BUF,1,2022-09-01,2022-09-08,2023-01-02,17,0012,Hawks,ROSTER,8000,3,Veteran,CL 3| TCV 48K| AAV 8K/28K| Y1-8 Y2-28 Y3-28,"CL 3| TCV 64K| AAV 8K/28K| Y1-8K, Y2-28K, Y3-28K| Inferred Extension",1,0,0,0,0,,3,0,0,56000,0,0,0,3,48000,8000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",2,20000,1,8000,0,8000,8000,16000,48000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0001,Ulterior Warrior,ROSTER,8000,2,Veteran,CL 3| TCV 24K,3,24000,8000,{},0,0,tcv_div_cl,8000,1,1,0,1,extension_inferred,2022-05-03,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2022-05-03,trade2022_8,0,current,2026-03-11 14:13:31
2023,QB,16153,"Bennett, Stetson",QB,LAR,1,2023-09-01,2023-09-07,2023-12-31,17,0012,Hawks,TAXI_SQUAD,2000,3,Rookie,CL 3| TCV 6K| AAV 2K,"CL 3| TCV 6K| AAV 2K| Y1-2K, Y2-2K, Y3-2K",0,0,0,0,0,,3,0,0,6000,0,0,0,3,6000,2000,{},0,0,1,2000,0,2000,2000,2000,4000,2023-12-31,0,aav_token_1,1,change_category_manual_review,2022,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-03-11 14:13:37
2017,QB,5848,"Brady, Tom",QB,NEP,1,2017-09-01,2017-09-07,2017-12-25,16,0012,White Power,ROSTER,31000,2,RESTRUCTURED,"Ext WP '17 & '18 [31K, 31K, 32K] Avg. 22/42/42","CL 2| TCV 94K| AAV 47K| Y1-31K, Y2-31K, Y3-32K",0,1,0,0,0,,2,0,1,94000,0,0,0,2,94000,47000,"{""Y1"":31000,""Y2"":31000,""Y3"":32000}",0,0,1,31000,0,31000,31000,31000,63000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:04
2017,QB,4925,"Brees, Drew",QB,NOS,1,2017-09-01,2017-09-07,2017-12-25,16,0004,Pure Greatness,ROSTER,30000,1,RESTRUCTURED,"Ext. RB '17 [30K, 30K] Avg. 25/35","CL 1| TCV 60K| AAV 60K| Y1-30K, Y2-30K",0,1,0,0,0,,1,0,1,60000,0,0,0,1,60000,60000,"{""Y1"":30000,""Y2"":30000}",0,0,1,30000,0,30000,30000,30000,30000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2017-03-30,trade2017_4,0,legacy,2026-03-11 14:13:04
2019,QB,4925,"Brees, Drew",QB,NOS,1,2019-09-01,2019-09-05,2019-12-23,16,0005,Run CMC,ROSTER,23000,2,BL GF,"Ext CMC '20 [13K, 23K, 24K] AAV 18K/24K Underpay 5K","CL 2| TCV 56K| AAV 23K/33K| Y1-23K, Y2-33K| Inferred Extension",1,0,0,0,0,,2,1,1,56000,0,0,0,2,60000,18000,"{""Y1"":13000,""Y2"":23000,""Y3"":24000}",1,10000,1,23000,0,23000,23000,23000,33000,2019-12-23,0,aav_token_1,1,contract_info_inconsistent,2018,16,0011,Cleon Ca$h,ROSTER,13000,2,BL,"[13K, 23K] AAV (18)",2,36000,18000,"{""Y1"":13000,""Y2"":23000}",0,0,tcv_div_cl,0,1,1,0,1,extension_inferred,2019-03-13,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2019-03-13,trade2019_10,0,legacy,2026-03-11 14:13:16
2017,QB,11640,"Bridgewater, Teddy",QB,MIN,1,2017-09-01,2017-09-07,2017-12-25,16,0001,Ulterior Warrior,ROSTER,5000,3,FRONT LOAD,"[5K, 3K, 1K]","CL 3| TCV 9K| AAV 5K/3K| Y1-5K, Y2-3K, Y3-1K",0,0,0,0,1,multi_year_after_drop|add=2017-11-23|drop=2017-11-14,3,0,1,9000,0,0,0,3,9000,3000,"{""Y1"":5000,""Y2"":3000,""Y3"":1000}",0,0,1,5000,0,5000,5000,5000,4000,2017-12-25,0,tcv_div_cl,1,mid_year_multi,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,fa_auction,2017-08-14,AUCTION:FreeAgent,fa_auction | last_drop=2017-08-26 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,1000,2017-08-14,2,2017-08-26,C-Town Chivalry,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-03-11 14:13:04
2020,QB,14777,"Burrow, Joe",QB,CIN,1,2020-09-01,2020-09-10,2020-12-28,16,0001,Ulterior Warrior,TAXI_SQUAD,5000,3,Rookie,TCV 15K,"CL 3| TCV 15K| AAV 5K| Y1-5K, Y2-5K, Y3-5K",0,0,0,0,0,,3,0,0,15000,0,0,0,3,15000,5000,{},0,0,1,5000,0,5000,5000,5000,10000,2020-12-28,0,tcv_div_cl,1,change_category_manual_review,2019,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-03-11 14:13:22
2017,QB,11644,"Carr, Derek",QB,OAK,1,2017-09-01,2017-09-07,2017-12-25,16,0002,Crystal Blue Persuasian,ROSTER,14000,2,STANDARD,"Ext. WP '17, '18 [14K,14K]","CL 2| TCV 28K| AAV 14K| Y1-14K, Y2-14K",0,0,0,0,0,,2,0,1,28000,0,0,0,2,28000,14000,"{""Y1"":14000,""Y2"":14000}",0,0,1,14000,0,14000,14000,14000,14000,2017-12-25,0,tcv_div_cl,1,change_category_manual_review,2016,0,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2017-07-11,trade2017_30,0,legacy,2026-03-11 14:13:04
2020,QB,11644,"Carr, Derek",QB,LVR,1,2020-09-01,2020-09-10,2020-12-28,16,0012,Hawks,ROSTER,4000,2,Veteran,TCV 8K,"CL 2| TCV 8K| AAV 4K| Y1-4K, Y2-4K",0,0,0,0,1,multi_year_after_drop|add=2020-10-24|drop=2020-10-22,2,0,0,8000,0,0,0,2,8000,4000,{},0,0,1,4000,0,4000,4000,4000,4000,2020-12-28,0,tcv_div_cl,1,mid_year_multi,2019,16,0004,Pure Greatness,ROSTER,4000,1,WW,,1,4000,4000,{},0,0,tcv_div_cl,0,0,0,0,1,fa_auction,2020-08-22,AUCTION:FreeAgent,fa_auction | last_drop=2020-03-22 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,4000,2020-08-22,1,2020-03-22,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-03-11 14:13:22
