season,position_filter,player_id,player_name,position,nfl_team,snapshot_week,cutoff_contract_deadline_date,season_kickoff_date,season_end_date,season_end_week,franchise_id,team_name,status,salary,contract_year,contract_status,contract_info,inferred_contract_info,extension_flag,restructure_flag,mym_flag,cap_penalty_flag,mid_year_multi_flag,mid_year_multi_reason,end_season_contract_year,legacy_gf_flag,legacy_rule_flag,remaining_tcv_at_drop,legacy_cap_penalty_amount,current_cap_penalty_amount,at_time_cap_penalty_amount,contract_length,tcv,aav,year_values_json,inferred_extension_term,inferred_extension_rate,contract_year_index,contract_year_value,earned_to_date,earned_season_full,earned_season_prorated,earned_total_through_season,earned_remaining_after_season,earned_as_of_date,multi_aav_flag,parsed_aav_source,manual_review_flag,manual_review_reason,prior_season,prior_season_last_week,prior_franchise_id,prior_team_name,prior_status,prior_salary,prior_contract_year,prior_contract_status,prior_contract_info,prior_contract_length,prior_tcv,prior_aav,prior_year_values_json,prior_extension_flag,prior_multi_aav_flag,prior_parsed_aav_source,prior_earned_to_date,prior_was_contract_status,prior_rollover_expected_under_contract,prior_expiring_contract,week1_is_contract_status,change_category,current_transaction_date,current_transaction_source,source_detail,drop_in_season_flag,drop_week_guess,drop_on_taxi_flag,taxi_eligible_drop_flag,taxi_eligible_reason,tag_cut_pre_auction_flag,waiver_pickup_flag,waiver_guarantee_pct,waiver_guarantee_amount,drop_earned_amount,drop_guarantee_amount,draftpick_round,draftpick_roundorder,draftpick_overall,auction_type,auction_bid_amount,auction_date,drop_count_pre_deadline,last_drop_date,last_drop_team,last_drop_method,last_drop_raw_type,add_count_pre_deadline,last_add_date,last_add_team,last_add_method,last_add_raw_type,last_add_salary,trade_count_pre_deadline,last_trade_date,last_trade_group_id,cap_penalty,cap_penalty_note,generated_at_utc
2018,QB,13589,"Allen, Josh",QB,BUF,1,2018-09-01,2018-09-06,2018-12-24,16,0011,Cleon Ca$h,TAXI_SQUAD,2000,1,Veteran,,CL 1| TCV 2K| AAV 2K| Y1-2K,0,0,0,0,0,,1,0,1,2000,0,0,0,1,2000,2000,{},0,0,1,2000,0,2000,2000,2000,0,2018-12-24,0,tcv_div_cl,1,change_category_manual_review,2017,16,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,1,manual_review,,,manual_review,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,legacy,2026-02-06 02:30:48
2019,QB,13589,"Allen, Josh",QB,BUF,1,2019-09-01,2019-09-05,2019-12-23,16,0006,Good in Da Hood,ROSTER,10000,1,Veteran GF,,CL 1| TCV 10K| AAV 10K| Y1-10K,0,0,0,0,0,,1,1,1,10000,0,0,0,1,10000,10000,{},0,0,1,10000,0,10000,10000,10000,0,2019-12-23,0,tcv_div_cl,0,,2018,16,0011,Cleon Ca$h,ROSTER,2000,1,Veteran,,1,2000,2000,{},0,0,tcv_div_cl,0,1,0,1,1,expired_rookie_or_tag_auction,2019-05-05,AUCTION:TagOrExpiredRookie,expired_rookie_or_tag_auction | last_drop=2019-04-29 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,TagOrExpiredRookie,10000,2019-05-05,1,2019-04-29,Cleon Ca$h,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,legacy,2026-02-06 02:30:52
2020,QB,13589,"Allen, Josh",QB,BUF,1,2020-09-01,2020-09-10,2020-12-28,16,0002,The Bash Bros,ROSTER,8000,3,Veteran,TCV 24K,"CL 3| TCV 24K| AAV 8K| Y1-8K, Y2-8K, Y3-8K",0,0,0,0,0,,3,0,0,24000,0,0,0,3,24000,8000,{},0,0,1,8000,0,8000,8000,8000,16000,2020-12-28,0,tcv_div_cl,0,,2019,16,0009,C-Town Chivalry,ROSTER,10000,1,Veteran GF,,1,10000,10000,{},0,0,tcv_div_cl,0,1,0,1,1,fa_auction,2020-08-19,AUCTION:FreeAgent,fa_auction | last_drop=2020-03-27 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,FreeAgent,8000,2020-08-19,1,2020-03-27,C-Town Chivalry,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-02-06 02:30:55
2021,QB,13589,"Allen, Josh",QB,BUF,1,2021-09-01,2021-09-09,2022-01-03,17,0009,C-Town Chivalry,ROSTER,8000,2,Veteran,CL 3| TCV 24K,"CL 3| TCV 24K| AAV 8K| Y1-8K, Y2-8K, Y3-8K",0,0,0,0,0,,2,0,0,24000,0,0,0,3,24000,8000,{},0,0,2,8000,8000,8000,8000,8000,16000,2022-01-03,0,tcv_div_cl,0,,2020,22,0002,The Bash Bros,ROSTER,8000,3,Veteran,TCV 24K,3,24000,8000,{},0,0,tcv_div_cl,0,1,1,0,1,carryover_contract,2021-06-04,TRADE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2021-06-04,trade2021_7,0,current,2026-02-06 02:30:58
2022,QB,13589,"Allen, Josh",QB,BUF,1,2022-09-01,2022-09-08,2023-01-02,17,0012,Hawks,ROSTER,8000,3,Veteran,CL 3| TCV 48K| AAV 8K/28K| Y1-8 Y2-28 Y3-28,"CL 3| TCV 64K| AAV 8K/28K| Y1-8K, Y2-28K, Y3-28K| Inferred Extension",1,0,0,0,0,,3,0,0,56000,0,0,0,3,48000,8000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",2,20000,1,8000,0,8000,8000,16000,48000,2023-01-02,0,aav_token_1,1,contract_info_inconsistent,2021,23,0001,Ulterior Warrior,ROSTER,8000,2,Veteran,CL 3| TCV 24K,3,24000,8000,{},0,0,tcv_div_cl,8000,1,1,0,1,extension_inferred,2022-05-03,TRADE,extension_inferred | expiring prior-year contract but still under contract without auction/waiver,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,2,2022-05-03,trade2022_8,0,current,2026-02-06 02:31:02
2023,QB,13589,"Allen, Josh",QB,BUF,1,2023-09-01,2023-09-07,2023-12-31,17,0012,Hawks,ROSTER,28000,2,Veteran,CL 3| TCV 48K| AAV 28K| Y1-8 Y2-28 Y3-28| No Further Extension Allowed,"CL 3| TCV 48K| AAV 8K/28K| Y1-8K, Y2-28K, Y3-28K",0,0,0,0,0,,2,0,0,48000,0,0,0,3,48000,28000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",0,0,2,28000,8000,28000,28000,28000,20000,2023-12-31,0,aav_token_1,0,,2022,23,0012,Hawks,ROSTER,8000,3,Veteran,CL 3| TCV 48K| AAV 8K/28K| Y1-8 Y2-28 Y3-28,3,48000,8000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",0,0,aav_token_1,0,1,1,0,1,carryover_contract,2023-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:06
2024,QB,13589,"Allen, Josh",QB,BUF,1,2024-09-01,2024-09-05,2024-12-30,17,0012,Hawks,ROSTER,28000,1,Veteran,CL 3| TCV 48K| AAV 28K| Y1-8 Y2-28 Y3-28| No Further Extension Allowed,"CL 3| TCV 48K| AAV 8K/28K| Y1-8K, Y2-28K, Y3-28K",0,0,0,0,0,,1,0,0,40000,0,0,0,3,48000,28000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",0,0,3,28000,36000,28000,28000,36000,12000,2024-12-30,0,aav_token_1,0,,2023,23,0012,Hawks,ROSTER,28000,2,Veteran,CL 3| TCV 48K| AAV 28K| Y1-8 Y2-28 Y3-28| No Further Extension Allowed,3,48000,28000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",0,0,aav_token_1,8000,1,1,0,1,carryover_contract,2024-03-01,ROLLOVER_BASELINE,carryover_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:09
2025,QB,13589,"Allen, Josh",QB,BUF,1,2025-08-31,2025-09-04,2025-12-29,17,0009,C-Town Chivalry,ROSTER,46000,1,Tag,No Further Extension Allowed,CL 1| TCV 46K| AAV 46K| Y1-46K,0,0,0,0,0,,1,0,0,10000,0,0,0,1,46000,46000,{},0,0,1,46000,0,46000,46000,82000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,0009,C-Town Chivalry,ROSTER,28000,1,Veteran,CL 3| TCV 48K| AAV 28K| Y1-8 Y2-28 Y3-28| No Further Extension Allowed,3,48000,28000,"{""Y1"":8000,""Y2"":28000,""Y3"":28000}",0,0,aav_token_1,36000,1,0,1,1,tagged,,,tagged,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:12
2020,QB,13879,"Allen, Kyle",QB,CAR,1,2020-09-01,2020-09-10,2020-12-28,16,,,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,{},0,0,0,0,0,0,0,0,0,2020-12-28,0,,0,,2019,16,0004,Pure Greatness,ROSTER,1000,3,Veteran,TCV 3K,3,3000,1000,{},0,0,tcv_div_cl,0,1,1,0,0,dropped_off_roster,,,dropped_off_roster | last_drop=2020-06-01 FREE_AGENT,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,1,2020-06-01,Pure Greatness,FREE_AGENT,FREE_AGENT,0,,,,,0,0,,,0,current,2026-02-06 02:30:55
2025,QB,13879,"Allen, Kyle",QB,DET,1,2025-08-31,2025-09-04,2025-12-29,17,0002,CBP,ROSTER,1000,1,WW,CL 1|,CL 1| TCV 1K| AAV 1K| Y1-1K,0,0,0,0,0,,1,0,0,1000,0,0,0,1,1000,1000,{},0,0,1,1000,0,1000,1000,1000,0,2025-12-29,0,tcv_div_cl,0,,2024,23,,,,0,0,,,0,0,0,{},0,0,,0,0,0,0,0,week1_not_under_contract,,,week1_not_under_contract,0,0,0,0,,0,0,0.0,0,0,0,0,0,0,,0,,0,,,,,0,,,,,0,0,,,0,current,2026-02-06 02:31:12
